dataset,route_id,target_smiles
n1,2261,CCCc1cn(CC(=O)O)c2cc(OCCc3sc(-c4ccc(C(F)(F)F)cc4)nc3C)ccc12
n1,849,CCn1ncc2c(NC3CC3)c(C3=NOC4(CCCCC4)C3)cnc21
n1,2879,CS(=O)(=O)Nc1ccc(C(=O)CBr)cc1Sc1ccc(F)cc1F
n1,3447,Cn1cc(Br)c2cc(F)c(OCc3ccccn3)nc21
n1,8613,CC(C)(O)CN1CCC(C#N)(c2ccc(N)cn2)CC1
n1,5245,O=C(Nc1ccc(Cl)cc1)c1cccnc1S(=O)Cc1ccncc1
n1,9128,CC(C)(C)OC(=O)N[C@@H](CCCCN(Cc1ccccc1)C[C@H](O)CCl)C(=O)OC(C)(C)C
n1,5654,CC(C)(C)OC(=O)N1CC2CC2(c2ccc(NCc3ccccc3)cc2)C1
n1,8498,CC=C1CCC[C@H]2[C@@H](O[Si](C)(C)C(C)(C)C)CCC[C@]12C
n1,1391,CCCCCCCCCCNC(=O)C=C(c1ccccc1)c1ccc(N)cc1
n1,2664,CN1CCC(O)(c2ccc(-c3ccnc(NC4CC(C)(C)NC(C)(C)C4)n3)s2)CC1
n1,9869,O=C(Nc1ccc(F)cc1)c1ccc(Cl)[n+]([O-])c1
n1,7287,O=C(N[C@H]1CCN(c2nccn3cnnc23)C1)c1ccn(-c2ccc(F)cc2)n1
n1,8382,CC1(C)OCC(CONC(=O)c2c(Nc3ccc(I)cc3F)c(Cl)c(=O)n3c2CCC3)O1
n1,4823,CC(C)(C)OC(=O)N1CCN(c2ncc(C(=O)C3CC3)cc2Cl)CC1
n1,4003,COCOc1ccc(C2(C)COc3cc(OCOC)ccc3C2c2cccc(OCCCCI)c2)cc1
n1,3899,CC(=O)Nc1ncc(C2=C(C(=O)O)N3C(=O)C(NC(=O)Cc4cccs4)C3SC2)s1
n1,6381,O=C1CN(CCN(Cc2ccccc2)S(=O)(=O)c2ccccc2[N+](=O)[O-])Cc2ccccc2C1(O)C1CCC1
n1,6952,CC(C)(C)OC(=O)N1Cc2ccc(C3C(=O)Nc4ccc(C#N)cc43)nc2C1
n1,4208,CCCCOc1ccc(/C=C/C(=O)c2cc(OC)cc(OC)c2)cc1O
n1,6589,NCC1(c2ccccc2)CCN(CCc2ccccc2C(F)(F)F)CC1
n1,8725,CCCCCCCCCCCCOC(=O)c1cccc2sc3ccc(C)cc3c(=O)c12
n1,7943,COc1nc2c(cc1C#CCO)c(=O)c(C(=O)NCc1ccc(Cl)cc1)cn2C
n1,566,Cc1nc(C(=O)c2cc(C)c3c(c2)oc(=O)n3C)cc(N2CCC3(CC2)OC(=O)Nc2ncccc23)n1
n1,366,CC(C)C(=O)Oc1ccc2c(C(=O)NCc3ccc(F)c(F)c3)c(C(C)C)n(Cc3ccccc3)c2c1
n1,7500,CC(C)CC12CC(C)C(C(C)O)CC1C2
n1,8654,CCc1nc(NC(=O)NS(=O)(=O)c2csc(C)c2)sc1Br
